,feature,feature_value_old,feature_value_new,shap_diff
14,dayoff_ma14,0.0,0.016733784247817456,0.23416194
4,stv_ma7,9.9995860233928,0.0,0.15822677
28,reserv_closed,0.0005371427155844417,0.0005371426095549399,0.13330664
30,stv_ma14,9.9997990014814,9.99948194958642,0.12217729
1,dayoff_ma7,0.0,1.520571842539411,0.122095585
20,stv_ma3,9.999514157840014,0.0,0.102441296
44,dayoff_ma14_t,0.0,0.016733784247817456,0.08145116
27,work_hr_ma7,0.09099089886363074,9.883716976506172,0.07632333
26,stv,9.999985936035552,9.999983962084317,0.06920896
13,location,0.0,0.0,0.06289509
10,dealcnt_ma7,0.0001307340500914235,0.0,0.05993032
19,work_hr_ma3,0.0985727653358876,10.0,0.053104565
17,work_hr_ma14,0.06340269464444143,0.10040270548690473,0.04832537
36,dealcnt_ma3,0.00013073311052504987,0.0,0.046288516
23,reserv_new,0.0006714283944805521,0.0006714282619436749,0.039970532
25,closed_cnt_ma14,0.0,0.0,0.033996344
3,brand,1.0,1.0,0.030601218
2,age,26.0,26.0,0.022672698
37,scrm_new_cnt,0.0,0.0,0.0226423
9,gender,0.0,0.0,0.022215046
32,closed_cnt,0.015912852949189087,0.017087849266466525,0.020122502
6,upgrade,0.0,0.0,0.019313585
7,dealcnt_ma14,0.0001681769088711974,0.00013073268943607387,0.018813936
8,closed_cnt_ma7,0.0,0.0,0.012868311
22,new_cnt,0.00520357005722428,0.005270711856257848,0.011063364
41,scrm_new_cnt_t,0.0,0.0,0.007694117
33,closed_cnt_ma3,0.0,0.0,0.0057074167
16,dayoff_ma3,0.0,0.0,0.0055372994
5,dayoff,0.0,0.0,0.0032499218
24,new_cnt_ma14,0.0,0.0,0.0031917957
31,new_cnt_ma7,0.0,0.0,0.0020244508
21,reserv_closed_ma14,0.0,0.0,0.0018621444
29,scrm_new_cnt_ma7,0.0,0.0,0.0004144587
39,stv_t,9.396281733131673e-06,-1.973951235356708e-06,5.8434554e-05
43,scrm_new_cnt_ma7_t,0.0,0.0,4.8944254e-05
45,scrm_new_cnt_ma14_t,0.0,0.0,-2.002671e-06
18,reserv_new_ma14,0.0,0.0,-8.9595604e-05
12,scrm_new_cnt_ma14,0.0,0.0,-0.00019904453
38,open_new,1.0,1.0,-0.00027214203
15,new_cnt_ma3,0.0,0.0,-0.0010495943
34,work_hr,0.00046999987613638656,0.0004699997833605724,-0.0017760172
11,reserv_scrm_new,0.0,0.0,-0.002508171
42,reserv_scrm_new_t,0.0,0.0,-0.00465197
40,dayoff_t,0.0,0.0,-0.0052667307
0,d,70.0,77.0,-0.0067430846
35,dealcnt,0.00015107138875812426,0.00015107135893732685,-0.008740686
