feature_name,definition
d,到職天數
age,年齡
brand,品牌
upgrade,是否升級
gender,性別
location,地點
open_new,是否開啟新名單
dayoff_ma7,近7天休假數
stv_ma7,近7天平均業績
dayoff,累計休假數
dealcnt_ma14,近14天成交數
closed_cnt_ma7,近7天結案派發數
dealcnt_ma7,近7天成交數
reserv_scrm_new,社群新名單預約數
scrm_new_cnt_ma14,近14天社群新名單派發數
dayoff_ma14,近14天休假數
reserv_new_ma7,近7天非社群新名單預約數
dayoff_ma3,近3天休假數
work_hr_ma14,近14天工時
reserv_new_ma14,近14天非社群新名單預約數
work_hr_ma3,近3天工時
new_cnt,累計非社群新名單派發數
reserv_new,累計非社群新名單預約數
new_cnt_ma14,近14天非社群新名單派發數
closed_cnt_ma14,近14天結案派發數
stv,累計STV
work_hr_ma7,近7天工時
reserv_closed,累計結案預約數
stv_ma14,近14天STV
new_cnt_ma7,近7天非社群新名單派發數
closed_cnt,累計結案派發數
closed_cnt_ma3,近3天結案派發數
work_hr,累計工時
dealcnt,累計成交數
scrm_new_cnt,累計社群新名單派發數
stv_t,累計STV與七天前差異
new_cnt_t,累計非社群新名單派發數與七天前差異
closed_cnt_t,累計結案派發數與七天前差異
dayoff_t,累計休假數與七天前差異
scrm_new_cnt_t,累計社群新名單派發數與七天前差異
reserv_scrm_new_t,累計社群新名單預約數與七天前差異
dayoff_ma3_t,近3日休假數與七天前差異
scrm_new_cnt_ma7_t,近7日社群新名單派發數與七天前差異
reserv_new_ma14_t,近14天非社群新名單預約數與七天前差異
dayoff_ma14_t,近14天休假數與七天前差異
scrm_new_cnt_ma14_t,近14天社群新名單派發數與七天前差異
